process,hurst_true,repeat,method,estimate,lag1_acf
fGn,0.3,39,custom_rs,0.4054814711415202,-0.2483165439421757
fGn,0.3,39,custom_dfa,0.3347222187903985,-0.2483165439421757
fGn,0.3,40,custom_rs,0.3722039653001793,-0.2326230575458076
fGn,0.3,40,custom_dfa,0.290468564533758,-0.2326230575458076
fGn,0.3,41,custom_rs,0.3506212984155983,-0.2361048482876151
fGn,0.3,41,custom_dfa,0.2666141183709644,-0.2361048482876151
fGn,0.3,42,custom_rs,0.37655239686979897,-0.2198918226905158
fGn,0.3,42,custom_dfa,0.29530518326485783,-0.2198918226905158
fGn,0.3,43,custom_rs,0.3851618663298634,-0.24211277407479803
fGn,0.3,43,custom_dfa,0.32619777949519885,-0.24211277407479803
fGn,0.3,44,custom_rs,0.36030467631183194,-0.23002659071648435
fGn,0.3,44,custom_dfa,0.27370871499227334,-0.23002659071648435
fGn,0.3,45,custom_rs,0.3938464217046593,-0.2366972177811781
fGn,0.3,45,custom_dfa,0.2942429162455658,-0.2366972177811781
fGn,0.3,46,custom_rs,0.3640485728592566,-0.246507212946868
fGn,0.3,46,custom_dfa,0.26613986484996954,-0.246507212946868
fGn,0.3,47,custom_rs,0.3770534566862656,-0.22798086583884508
fGn,0.3,47,custom_dfa,0.2695216725140348,-0.22798086583884508
fGn,0.3,48,custom_rs,0.3654061822457211,-0.2550361048357421
fGn,0.3,48,custom_dfa,0.30185176844522693,-0.2550361048357421
fGn,0.3,49,custom_rs,0.358997732965848,-0.2593312496188481
fGn,0.3,49,custom_dfa,0.2618156463125444,-0.2593312496188481
fGn,0.3,50,custom_rs,0.3882686150032019,-0.2621887008241366
fGn,0.3,50,custom_dfa,0.3230954081484152,-0.2621887008241366
fGn,0.3,51,custom_rs,0.4089927178722638,-0.2551626059552906
fGn,0.3,51,custom_dfa,0.33649151489571133,-0.2551626059552906
fGn,0.3,52,custom_rs,0.36182555713092845,-0.24655523607740648
fGn,0.3,52,custom_dfa,0.25954430533725326,-0.24655523607740648
fGn,0.3,53,custom_rs,0.3983485874555444,-0.24776041896471415
fGn,0.3,53,custom_dfa,0.3122461114734809,-0.24776041896471415
fGn,0.3,54,custom_rs,0.3916360383134923,-0.23408556884073514
fGn,0.3,54,custom_dfa,0.2968867164646786,-0.23408556884073514
fGn,0.3,55,custom_rs,0.3698834423822975,-0.24725645689750983
fGn,0.3,55,custom_dfa,0.2636081980686045,-0.24725645689750983
fGn,0.3,56,custom_rs,0.3847276879795618,-0.2405703952322831
fGn,0.3,56,custom_dfa,0.30583855817354577,-0.2405703952322831
fGn,0.3,57,custom_rs,0.36707906491592723,-0.2328777081293256
fGn,0.3,57,custom_dfa,0.2864508226494725,-0.2328777081293256
fGn,0.3,58,custom_rs,0.3710182655338651,-0.2524304408746658
fGn,0.3,58,custom_dfa,0.2739883071022531,-0.2524304408746658
fGn,0.3,59,custom_rs,0.36175297612487095,-0.24860027752696598
fGn,0.3,59,custom_dfa,0.28336323501516203,-0.24860027752696598
fGn,0.3,60,custom_rs,0.38856042493980636,-0.26925411995955095
fGn,0.3,60,custom_dfa,0.29821092193610826,-0.26925411995955095
fGn,0.3,61,custom_rs,0.3882759528210109,-0.23412220194559955
fGn,0.3,61,custom_dfa,0.2965991499235663,-0.23412220194559955
fGn,0.3,62,custom_rs,0.398462362271487,-0.25179426606742444
fGn,0.3,62,custom_dfa,0.3077276345838626,-0.25179426606742444
fGn,0.3,63,custom_rs,0.4039244735462847,-0.2616735458041779
fGn,0.3,63,custom_dfa,0.3105216468700083,-0.2616735458041779
